year,global,n_hemi,s_hemi,tropics
1956,-0.267,-0.262,-0.269,-0.317
1957,-0.007,0.009,-0.023,0.014
1958,0.046,0.116,-0.024,0.145
1959,0.017,0.073,-0.038,0.043
1960,-0.049,0.015,-0.113,-0.021
1961,0.038,0.065,0.015,-0.032
1962,0.014,0.089,-0.058,-0.077
1963,0.048,0.148,-0.051,0.076
1964,-0.223,-0.169,-0.275,-0.145
1965,-0.14,-0.134,-0.147,-0.073
1966,-0.068,0.003,-0.14,0.043
1967,-0.074,0.026,-0.174,-0.147
1968,-0.113,-0.063,-0.162,-0.115
1969,0.032,-0.054,0.118,0.246
1970,-0.027,-0.056,0.001,0.008
1971,-0.186,-0.193,-0.18,-0.29
1972,-0.065,-0.222,0.09,0.043
1973,0.062,0.024,0.099,0.064
1974,-0.214,-0.261,-0.166,-0.296
1975,-0.149,-0.123,-0.175,-0.332
1976,-0.241,-0.293,-0.19,-0.25
1977,0.047,0.034,0.059,0.021
1978,-0.062,-0.056,-0.068,-0.062
1979,0.057,0.006,0.107,0.084
1980,0.092,0.068,0.116,0.136
1981,0.14,0.236,0.043,0.018
1982,0.011,-0.029,0.052,0.065
1983,0.194,0.168,0.22,0.222
1984,-0.014,-0.085,0.056,0.003
1985,-0.03,-0.131,0.071,-0.063
1986,0.045,0.026,0.064,0.048
1987,0.192,0.153,0.231,0.358
1988,0.198,0.233,0.164,0.205
1989,0.118,0.164,0.072,-0.014
1990,0.296,0.412,0.181,0.206
1991,0.254,0.316,0.193,0.206
1992,0.105,0.074,0.136,0.109
1993,0.148,0.13,0.167,0.162
1994,0.208,0.28,0.138,0.159
1995,0.325,0.47,0.179,0.285
1996,0.183,0.175,0.187,0.193
1997,0.39,0.456,0.323,0.368
1998,0.539,0.614,0.465,0.564
1999,0.306,0.408,0.204,0.158
2000,0.294,0.404,0.184,0.17
2001,0.441,0.558,0.323,0.35
2002,0.496,0.593,0.398,0.469
2003,0.505,0.642,0.369,0.507
2004,0.447,0.604,0.289,0.43
2005,0.545,0.724,0.367,0.487
2006,0.506,0.676,0.336,0.449
2007,0.491,0.713,0.27,0.365
2008,0.395,0.569,0.22,0.274
2009,0.506,0.594,0.413,0.541
2010,0.56,0.74,0.379,0.535
2011,0.425,0.575,0.275,0.243
2012,0.47,0.627,0.312,0.346
2013,0.514,0.674,0.352,0.404
2014,0.579,0.779,0.381,0.516
2015,0.763,1.033,0.497,0.737
2016,0.797,1.064,0.531,0.763
2017,0.677,0.922,0.434,0.563
2018,0.597,0.789,0.405,0.473
2019,0.736,0.972,0.502,0.656
